itemLabel,positionLabel
Shaikh Khalid bin Abdulla Al Khalifa,Deputy Prime Minister and Minister for Infrastructure
Jameel bin Mohammed Ali Humaidan,Labour Minister
Zayed bin Rashid Al Zayani,Industry and Commerce Minister
Wael bin Nasser Al Mubarak,Municipalities Affairs and Agriculture Minister
Dr Mohammed bin Mubarak bin Daina,Minister of Oil and Environment
Mohammed bin Thamer Al Kaabi,Minister of Transportation and Telecommunications
Ibrahim bin Hassan Al Hawaj,Works Minister
Youssef bin Abdulhussein Khalaf,Legal Affairs Minister
Osama bin Ahmed Khalaf Al Asfoor,Social Development Minister
Yasser bin Ibrahim Humaidan,Electricity and Water Affairs Minister
Dr Jalila bint Al Sayyed Jawad Hassan,Health Minister
Nawaf bin Mohammed Al Maawda,"Justice, Islamic Affairs and Endowments Minister"
Hamad bin Faisal Al Malki,Cabinet Affairs Minister
Amna bint Ahmed Al Romaihi,Housing and Urban Planning Minister
Noor bint Ali Al Khulaif,Sustainable Development Minister
Fatima bint Jaffer Al Sairafi,Tourism Minister
Dr Ramzan bin Abdulla Al Nuaimi,Information Affairs Minister
